Property,Property_URL,Rating,Review_Date,Review_Date_Original,Review_Day_of_Week,Review_Month,Review_Month_Name,Review_Text,Review_Year,Reviewer_Name,Scraped_At
The Waters at Millerville,"https://www.google.com/maps/place/The+Waters+at+Millerville/@30.439755,-91.0289876,17z/data=!4m8!3m7!1s0x8626bd7f2db7ca89:0x1d15edca3d614c78!8m2!3d30.4397504!4d-91.0264127!9m1!1b1!16s%2Fg%2F11sdm7v6s3?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",1,2025-02-14 (unparseable),2025-02-14,Friday,2,February,"If you are considering moving here and want a safe, quiet, and friendly environment, look elsewhere. Just to name a few safety issues, tons of the residents here speed through the parking lot going at least 25-30mph nearly causing accidents every day almost running into other cars and even people just walking around. You will be tailgated by other residents if you’re cruising around the parking lot too slowly. Tons of pet owners will not leash their dogs and will not pick up after them. Their pet waste can be found all over the grass for you or another resident/guest to step in.

The apartment units themselves may look nice on the inside but they seem to be built with cardboards purchased from Temu as there is barely any sound insulation. If you have a neighbor living above you, you will hear EVERYTHING. If someone is having a conversation outside your window, you will feel like you are a part of it and can hear every detail. At night, there is a quiet hours policy but that doesn’t mean anything. You can call the after hours number to complain but that will not do anything other than sending someone out to tell someone else that they’re noisy.

My only positive about this place is that their maintenance team is to respond and fix things. Other than that, I would not live here again.",2025,Chuk,2025-08-13T12:27:57.720792
The Waters at Millerville,"https://www.google.com/maps/place/The+Waters+at+Millerville/@30.439755,-91.0289876,17z/data=!4m8!3m7!1s0x8626bd7f2db7ca89:0x1d15edca3d614c78!8m2!3d30.4397504!4d-91.0264127!9m1!1b1!16s%2Fg%2F11sdm7v6s3?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-01-15 (unparseable),2025-01-15,Wednesday,1,January,"Issues are addressed promptly and I appreciate that, that’s the most important factor for me when renting. The staff is also very nice and host community events often so it feels like home. I must say, i wasn’t too pleased when I first moved in but I gave them some time and I’m glad I did.",2025,Montrice Davis,2025-08-13T12:27:57.895662
The Waters at Millerville,"https://www.google.com/maps/place/The+Waters+at+Millerville/@30.439755,-91.0289876,17z/data=!4m8!3m7!1s0x8626bd7f2db7ca89:0x1d15edca3d614c78!8m2!3d30.4397504!4d-91.0264127!9m1!1b1!16s%2Fg%2F11sdm7v6s3?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,a year ago (unparseable) (unparseable),a year ago (unparseable),,,,"I wish I could give 10 stars. The staff was very kind, knowledgeable, answered all questions, and provided a great tour of the property. The ambiance of the property is beyond exceptional and I love the apartment layout. The maintenance team is very professional, prompt, and kind. I feel very safe living here and am looking forward to meeting my neighbors.",,LaToya Roberts,2025-08-13T12:27:58.065115
The Waters at Millerville,"https://www.google.com/maps/place/The+Waters+at+Millerville/@30.439755,-91.0289876,17z/data=!4m8!3m7!1s0x8626bd7f2db7ca89:0x1d15edca3d614c78!8m2!3d30.4397504!4d-91.0264127!9m1!1b1!16s%2Fg%2F11sdm7v6s3?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,a year ago (unparseable) (unparseable),a year ago (unparseable),,,,"I love this property! The management team here is absolutely phenomenal, and the amenities here make it feel like a vacation everyday. I recommend The Waters to anyone that is looking for an upgrade! Schmidt is the one that helped me out, and she was incredibly knowledgeable and really took the time to help me narrow down my perfect home!",,Anthony Lavergne,2025-08-13T12:27:58.229181
The Waters at Redstone,"https://www.google.com/maps/place/The+Waters+at+Redstone/@30.7362907,-86.5595057,17z/data=!4m8!3m7!1s0x8891731ed5ef4421:0xe82971b01b043e0e!8m2!3d30.7362861!4d-86.5569308!9m1!1b1!16s%2Fg%2F11sdm7w83h?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,a month ago (unparseable) (unparseable),a month ago (unparseable),,,,I spoke with a lady named Veronica. She was extremely helpful. I’m looking at moving across the country to live in Florida again and this is the area I settled on. She was very insightful and was willing to explain above and beyond just the housing at these apartments but the surrounding area as well giving me insight into what is nearby for shopping and entertainment and included information that would help my dog adjust to the area as well,,Zach Caswell,2025-08-13T12:28:12.782786
The Waters at Redstone,"https://www.google.com/maps/place/The+Waters+at+Redstone/@30.7362907,-86.5595057,17z/data=!4m8!3m7!1s0x8891731ed5ef4421:0xe82971b01b043e0e!8m2!3d30.7362861!4d-86.5569308!9m1!1b1!16s%2Fg%2F11sdm7w83h?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-04-15 (unparseable),2025-04-15,Tuesday,4,April,"Everyone is so friendly.  Including the residents and the leasing office ladies, Kimberly, Tiffani and Veronica helped our move in be seamless. Hunter and the rest of the maintenance team are amazing. They even installed new fire alarms with lights for my fiancé who is deaf. Tiffani made sure before we moved to have all the important paperwork for the accommodation to be filled out. Amazing people!",2025,Georganna Benjamin,2025-08-13T12:28:12.952506
The Waters at Redstone,"https://www.google.com/maps/place/The+Waters+at+Redstone/@30.7362907,-86.5595057,17z/data=!4m8!3m7!1s0x8891731ed5ef4421:0xe82971b01b043e0e!8m2!3d30.7362861!4d-86.5569308!9m1!1b1!16s%2Fg%2F11sdm7w83h?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-06-14 (unparseable),2025-06-14,Saturday,6,June,"I just moved here two days ago. I chose this place because I truly love it. At the moment, I have nothing negative to say.",2025,yongute chaisomboon,2025-08-13T12:28:13.128587
The Waters at Redstone,"https://www.google.com/maps/place/The+Waters+at+Redstone/@30.7362907,-86.5595057,17z/data=!4m8!3m7!1s0x8891731ed5ef4421:0xe82971b01b043e0e!8m2!3d30.7362861!4d-86.5569308!9m1!1b1!16s%2Fg%2F11sdm7w83h?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",2,a month ago (unparseable) (unparseable),a month ago (unparseable),,,,"First off, rent here is ridiculously high. A one bed room half the size of a New York studio shouldn’t cost nobody 1200+. A one bed room at minimum if you’re going to make it pricey should be at least 1,000-1,100. Also, the carports being $60 dollars a month is DIABOLICALLY RIDICULOUS😭😂 on top of your rent?! C’mon now. I want to also point out, be on top of your P&Q’s if you’re going to let 3rd party companies work on the complex/ community. Also, no refunds is nasty work(especially if you guys mess up on your end.. unintentionally though) I understand things do happen. Also, the stair cases stained with dog piss and the community filled with dog doodoo is baffling💀. Please have somebody pressure wash the place or something. You guys preach how you want the community to look clean, but yet it’s not… at all. Plus the whole smart lock thing, why charge more on people’s rent for that? We already paying thousands dollars a year. That should be free lmao. Like what? I’m just trying to give tips that’s all. Other than that, I love the fact that there are community events!!!! Veronica is the the most sweetest person I know!!! That’s my little bestie 😂🫶🏾  I also would recommend a basketball court! That would be so TUFF!!!!! The pool great addition bc it’s hot. People here are friendly & I love the maintenance team.",,D'Allan Bradford,2025-08-13T12:28:13.307097
The Waters at Redstone,"https://www.google.com/maps/place/The+Waters+at+Redstone/@30.7362907,-86.5595057,17z/data=!4m8!3m7!1s0x8891731ed5ef4421:0xe82971b01b043e0e!8m2!3d30.7362861!4d-86.5569308!9m1!1b1!16s%2Fg%2F11sdm7w83h?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2024-11-16 (unparseable),2024-11-16,Saturday,11,November,"My wife and I moved in about a month ago and it has been nothing but one positive after another. We love the amenities and location of the apartments. In 1 day, we can go to the store, the pharmacy and out to eat and only travel a total of 2 miles. Our beagle loves the area and feels right at home",2024,Chandler Weeks,2025-08-13T12:28:13.502244
The Waters at Redstone,"https://www.google.com/maps/place/The+Waters+at+Redstone/@30.7362907,-86.5595057,17z/data=!4m8!3m7!1s0x8891731ed5ef4421:0xe82971b01b043e0e!8m2!3d30.7362861!4d-86.5569308!9m1!1b1!16s%2Fg%2F11sdm7w83h?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,a year ago (unparseable) (unparseable),a year ago (unparseable),,,,"I love this place thanks to the exceptional efforts of all the staff here, especially Veronica, Ava, Tiffani, and Don. From the moment I moved in, Veronica and Ava have been a beacon of professionalism and kindness, always ensuring that any concerns are addressed promptly and efficiently. Don’s attention to detail and commitment to maintaining the property in pristine condition has made living here an absolute pleasure. Tiffani's warm and welcoming demeanor has created a sense of community that truly makes this place feel like home.

The fun community events organized by the team are the cherry on top. There is always something exciting happening to bring residents together. These events not only provide entertainment but also foster a strong sense of community among neighbors.

Together, these outstanding individuals and the vibrant community events have transformed the complex into a haven of comfort and enjoyment. Highly recommended!",,Shawn Elia,2025-08-13T12:28:13.716903
The Waters at Redstone,"https://www.google.com/maps/place/The+Waters+at+Redstone/@30.7362907,-86.5595057,17z/data=!4m8!3m7!1s0x8891731ed5ef4421:0xe82971b01b043e0e!8m2!3d30.7362861!4d-86.5569308!9m1!1b1!16s%2Fg%2F11sdm7w83h?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,a year ago (unparseable) (unparseable),a year ago (unparseable),,,,"The Waters at Redstone has a resort-like feel and the hospitality they show is one of a kind. I will always be recommending these apartments to those looking for an affordable place to call home. The amazing amenities they have are nothing like I’ve seen before. The leasing consultants are so very sweet and down to earth. The maintenance men are all always willing to lend a helping hand.
If you or anyone you know is looking for a place to call home, give The Waters at Redstone a call.",,Trinity Piker,2025-08-13T12:28:13.915320
The Waters at Redstone,"https://www.google.com/maps/place/The+Waters+at+Redstone/@30.7362907,-86.5595057,17z/data=!4m8!3m7!1s0x8891731ed5ef4421:0xe82971b01b043e0e!8m2!3d30.7362861!4d-86.5569308!9m1!1b1!16s%2Fg%2F11sdm7w83h?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,a year ago (unparseable) (unparseable),a year ago (unparseable),,,,"The Waters at Redstone has been an excellent living experience for both me and my cat Arlo.

I moved into the Waters a few months ago as one of their first tenants and they have been nothing but hospitable and excellent the entire time. Regularly they will host small parties with excellent food and drink that offer great opportunities to meet new people and mingle with your neighbors.

The maintenance staff is very helpful and even helped me when I was in a jam moving furniture (Big shoutout to Ronald). The rest of the staff is awesome as well!

Ava helped me immensely in my leadup to moving in often answering questions over email in a few minutes and always happy to provide me with information at a moments notice, this was great for me as a first apartment experience.

Veronica has helped me several times with questions in regards to billing and even helped me get set up with my mobile device applications very quickly.

Tiffany is an excellent community manager. Her and the rest of her team exude hospitality and I have never felt like a nuisance with even the most trivial of questions. Tiffany even offered to help me resolve some issues with FPL on a moments notice.

The staff at Redstone is fantastic, always asking me how I am doing and being genuinely invested in their tenants. I would strongly recommend this apartment to anyone interested.

The amenities are also excellent with a fully stocked gym, pool, and self service Starbucks coffee machine. This place is very luxurious at  a very reasonable price.",,Kenneth Waters,2025-08-13T12:28:14.090370
The Waters at Settlers Trace,"https://www.google.com/maps/place/The+Waters+at+Settlers+Trace/@30.162335,-92.0533341,17z/data=!4m8!3m7!1s0x86249d93f2c9161f:0xde2de5332356386d!8m2!3d30.1623304!4d-92.0507592!9m1!1b1!16s%2Fg%2F11vb312kvw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-04-15 (unparseable),2025-04-15,Tuesday,4,April,"Only been here two days, but this place is great. For one, obviously, because it's all new, but the layout of the apartment we are in is awesome. It's all up-to-date, modern design and right next to grocery stores and many other stores. The price is about what you'd expect for an apartment in Lafayette, especially in a nice area. Management is very helpful to us, which you won't find at many apartment complexes, I hope it stays this way. There is the issue of residents leaving trash outside of the compactor which is rude, especially considering these are brand new. I have yet to live in an apartment as great as this one is.",2025,Anonymous,2025-08-13T12:28:28.606258
The Waters at Settlers Trace,"https://www.google.com/maps/place/The+Waters+at+Settlers+Trace/@30.162335,-92.0533341,17z/data=!4m8!3m7!1s0x86249d93f2c9161f:0xde2de5332356386d!8m2!3d30.1623304!4d-92.0507592!9m1!1b1!16s%2Fg%2F11vb312kvw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",2,Edited a month ago (unparseable) (unparseable),Edited a month ago (unparseable),,,,"I am going to be really honest. I have been living here since the end of March. With the recent transfer of The Waters from being managed by Stoa Group to now Greystar, I am highly concerned the quality is going to go down. Right now, I do not think I will renew my lease because of all the management changes and not to mention how many times their fire alarm company needs to be on property. They needed to do work all day on June 9th and now they need to do more work on July 10th? It's the biggest hassle to be disturbed when you are paying a premium price (1500+) for an apartment. I guess we will see how this goes, but I don't think the quality is going to get any better. If anything, worse. It's like any apartment management company really, they just care about your money.",,Colby Laramore,2025-08-13T12:28:28.793550
The Waters at Settlers Trace,"https://www.google.com/maps/place/The+Waters+at+Settlers+Trace/@30.162335,-92.0533341,17z/data=!4m8!3m7!1s0x86249d93f2c9161f:0xde2de5332356386d!8m2!3d30.1623304!4d-92.0507592!9m1!1b1!16s%2Fg%2F11vb312kvw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",1,2025-07-30 (unparseable),2025-07-30,Wednesday,7,July,We were looking for apartments for my sister in law and called the office for some information but huge mistake!! Receptionist were very sharp on answering and we set an appointment for today at 1 but she just hang out without even asking for our names. So we deleted this place on our apartment complex list 😡😡😡,2025,Laura Vesey,2025-08-13T12:28:28.989541
The Waters at Settlers Trace,"https://www.google.com/maps/place/The+Waters+at+Settlers+Trace/@30.162335,-92.0533341,17z/data=!4m8!3m7!1s0x86249d93f2c9161f:0xde2de5332356386d!8m2!3d30.1623304!4d-92.0507592!9m1!1b1!16s%2Fg%2F11vb312kvw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2024-12-16 (unparseable),2024-12-16,Monday,12,December,"Living at the Waters at Settlers Trace has been an incredible experience! The apartments are modern, spacious, and filled with thoughtful touches like the stainless steel appliances and large windows with natural light. The community amenities are exceptional: a sparkling pool, fully equipped gym, and peaceful, spacious lounge areas.

The management team is friendly, professional, and quick to respond to any concerns, which makes living here stress-free. My Wife, Victoria, loves working for the STOA group. Maintenance is always efficient and resolves issues promptly.

The location is ideal, with easy access to restaurants, Target, and just making life even more convenient. The neighborhood feels safe, clean, and welcoming, with friendly neighbors and plenty of green spaces to enjoy.

I highly recommend the Waters at Settlers Trace to anyone looking for a comfortable, stylish, and hassle-free place to live! It truly feels like a home of your own.",2024,Mark Holmes,2025-08-13T12:28:29.168546
The Waters at Settlers Trace,"https://www.google.com/maps/place/The+Waters+at+Settlers+Trace/@30.162335,-92.0533341,17z/data=!4m8!3m7!1s0x86249d93f2c9161f:0xde2de5332356386d!8m2!3d30.1623304!4d-92.0507592!9m1!1b1!16s%2Fg%2F11vb312kvw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",3,2025-04-15 (unparseable),2025-04-15,Tuesday,4,April,"Avoid moving into any of the buildings behind the Whole Foods shopping center. Every night around 2 a.m., the garbage collectors come through and it’s extremely loud. I’ve reported it, but they said there’s nothing they can do. My baby and I get woken up every single night because of it. Other than that, I really love my apartment it’s just the nightly noise:(",2025,Eyonna LeBlanc,2025-08-13T12:28:29.341781
The Waters at Settlers Trace,"https://www.google.com/maps/place/The+Waters+at+Settlers+Trace/@30.162335,-92.0533341,17z/data=!4m8!3m7!1s0x86249d93f2c9161f:0xde2de5332356386d!8m2!3d30.1623304!4d-92.0507592!9m1!1b1!16s%2Fg%2F11vb312kvw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-03-16 (unparseable),2025-03-16,Sunday,3,March,"Relaxed environment, staff is great and really go above and beyond to keep this place up. Really enjoy living here, amenities are top notch n",2025,Scott Landry,2025-08-13T12:28:29.519574
The Waters at Settlers Trace,"https://www.google.com/maps/place/The+Waters+at+Settlers+Trace/@30.162335,-92.0533341,17z/data=!4m8!3m7!1s0x86249d93f2c9161f:0xde2de5332356386d!8m2!3d30.1623304!4d-92.0507592!9m1!1b1!16s%2Fg%2F11vb312kvw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2024-10-17 (unparseable),2024-10-17,Thursday,10,October,"Me and my husband just got our welcome home letter today and we can't wait to move in soon. Everyone has been so friendly, helpful, and very welcoming! The property itself is beautiful and we can't wait to make it our home.",2024,Onica Breaux,2025-08-13T12:28:29.698500
The Waters at Settlers Trace,"https://www.google.com/maps/place/The+Waters+at+Settlers+Trace/@30.162335,-92.0533341,17z/data=!4m8!3m7!1s0x86249d93f2c9161f:0xde2de5332356386d!8m2!3d30.1623304!4d-92.0507592!9m1!1b1!16s%2Fg%2F11vb312kvw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2024-09-17 (unparseable),2024-09-17,Tuesday,9,September,"Our first tour was awesome, Grant was super informative and answered all questions we had. The amenities and atmosphere made this place feel like a community we wanted to live in! At the end of the tour Grant gave us all the information we needed to move forward and even told us where to set up electricity and cable which was super helpful coming from out of state.  So far we have settled in nicely and cant wait to go to community events in the future! 10/10!",2024,Jenna Gittens,2025-08-13T12:28:29.874312
The Waters at West Village,"https://www.google.com/maps/place/The+Waters+at+West+Village/@30.2221885,-92.0983901,17z/data=!4m8!3m7!1s0x86249fc349920de9:0x7945e14be23642b4!8m2!3d30.2221839!4d-92.0958152!9m1!1b1!16s%2Fg%2F11vdd4crjw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",1,2025-04-15 (unparseable),2025-04-15,Tuesday,4,April,"My experience at The Waters at West Village began on a positive note, but it quickly turned into a nightmare. I moved into a brand-new apartment that had never been occupied before. However, within just two months, the vinyl tile floors started coming up. At first, it wasn’t too serious, but by October, I submitted a maintenance request. The team attempted to fix the issue by gluing the floors down, but it only worsened, especially in my bedroom.
As the flooring continued to lift, creating a serious tripping hazard, I submitted another maintenance request and invited the leasing manager to see the problem in person. She declined my invitation, citing the need to sort Christmas decorations. This dismissal made me feel neglected and unimportant. Instead, she promised to come by the following Monday, which coincided with Thanksgiving week. I explained that I had family coming over and was concerned about the safety risk. When she finally arrived, she acknowledged the problem, saying it would only take a day to fix. She also asked if I wanted  to switch to a different unit. However, since it was during holiday season and my apartment was fully furnished and decorated, I preferred to stay, provided the floors could be repaired.
Despite explaining the urgency of the situation to her supervisor, I was left waiting for months with no resolution. What followed was a series of unprofessional delays, poor communication, and a complete lack of accountability. Though promises were made that the issue would be handled quickly, the floors weren’t repaired for over four months. Both the leasing manager and the property management team failed to follow up or provide any clarity when I repeatedly asked about the next steps as the floors were getting worse. I even inquired about moving to a different unit, specifically one facing the pond, but was told there were none available. They assured me that the repairs would be quick, but there was no clear plan in place.
In January 2025, I was finally informed that moisture tests would be conducted in my apartment on January 14th and that the replacement floors were on back order. After the tests were completed, they wanted to swiftly schedule the floor repairs, but once again, no concrete plan was provided when I asked how would the moving in and out  of my items would go and who would be financially responsible for packing materials. I was told that the property management team had never handled repairs in an occupied unit before and was unsure how to proceed. After months of living with hazardous floors, I sought legal help to address my concerns. By this point, I had developed an upper respiratory infection and had been to the ER, where I was diagnosed after weeks of persistent coughing and mucus.
Despite enduring months of living with unsafe floors, I was only offered partial rent credits for the time I couldn’t live comfortably in my apartment. I was also lied to about the moisture test, and the company ignored my lawyer’s requests for information. Once the floors were finally repaired, I asked for the underlying issues to be addressed to ensure my peace of mind, but my concerns were once again ignored.
What is most disappointing is how little the management team seemed to care about my actual living experience. They were more focused on hosting resident events and posting about them on social media than on maintaining a safe, comfortable, and respectful living environment. Though my floors were eventually repaired, the fundamental issues, as seen in the photos, were never properly tested or addressed, leaving me feeling unsafe in my own home.

**UPDATE**
SEE THIER YELP PAGE FOR MY COMPLETE REPONSE
The total disregard for my safety and the dismissal of my concerns after the tile was removed proves you could care less about a more positive living experience for my family and I. The new floors were swiftly put down without testing those spots for potential health hazards and that is extremely concerning.",2025,LaToya,2025-08-13T12:28:44.345245
The Waters at West Village,"https://www.google.com/maps/place/The+Waters+at+West+Village/@30.2221885,-92.0983901,17z/data=!4m8!3m7!1s0x86249fc349920de9:0x7945e14be23642b4!8m2!3d30.2221839!4d-92.0958152!9m1!1b1!16s%2Fg%2F11vdd4crjw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-05-15 (unparseable),2025-05-15,Thursday,5,May,Went yesterday to take a tour and was greeted by Kristin! She was so sweet and kind. Sara gave me a tour and she went through the unit and showed me everything. She was able to answer all of my questions pertaining to the apartment as well as give me multiple quotes for different lease lengths. Love the vibe of the property and that it has so many amazing amenities! Excited to move here in June! Thanks ladies ❤️,2025,Ashley Hellenbrand,2025-08-13T12:28:44.524920
The Waters at West Village,"https://www.google.com/maps/place/The+Waters+at+West+Village/@30.2221885,-92.0983901,17z/data=!4m8!3m7!1s0x86249fc349920de9:0x7945e14be23642b4!8m2!3d30.2221839!4d-92.0958152!9m1!1b1!16s%2Fg%2F11vdd4crjw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,a year ago (unparseable) (unparseable),a year ago (unparseable),,,,The process from start to finish was fairly easy. When minor bumps happened the staff was there to help me all of the way. I cannot say enough about them this far! Sara is the best!,,Lisa Miller,2025-08-13T12:28:44.713808
The Waters at West Village,"https://www.google.com/maps/place/The+Waters+at+West+Village/@30.2221885,-92.0983901,17z/data=!4m8!3m7!1s0x86249fc349920de9:0x7945e14be23642b4!8m2!3d30.2221839!4d-92.0958152!9m1!1b1!16s%2Fg%2F11vdd4crjw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2025-03-16 (unparseable),2025-03-16,Sunday,3,March,"I recently just moved to my 1bed room apartment and I love it here, everything is close and the scenery is amazing couldn’t be happier any where else.",2025,Jalen Charles,2025-08-13T12:28:44.896839
The Waters at West Village,"https://www.google.com/maps/place/The+Waters+at+West+Village/@30.2221885,-92.0983901,17z/data=!4m8!3m7!1s0x86249fc349920de9:0x7945e14be23642b4!8m2!3d30.2221839!4d-92.0958152!9m1!1b1!16s%2Fg%2F11vdd4crjw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,a year ago (unparseable) (unparseable),a year ago (unparseable),,,,Staff has been very accommodating and answers all questions quickly and professionally. Thoroughly explained any concerns that we had on moving day and previously asked.,,Emery Francis,2025-08-13T12:28:45.071212
The Waters at West Village,"https://www.google.com/maps/place/The+Waters+at+West+Village/@30.2221885,-92.0983901,17z/data=!4m8!3m7!1s0x86249fc349920de9:0x7945e14be23642b4!8m2!3d30.2221839!4d-92.0958152!9m1!1b1!16s%2Fg%2F11vdd4crjw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,a year ago (unparseable) (unparseable),a year ago (unparseable),,,,Great amenities and amazing staff.,,Cameron Carter,2025-08-13T12:28:45.266368
The Waters at West Village,"https://www.google.com/maps/place/The+Waters+at+West+Village/@30.2221885,-92.0983901,17z/data=!4m8!3m7!1s0x86249fc349920de9:0x7945e14be23642b4!8m2!3d30.2221839!4d-92.0958152!9m1!1b1!16s%2Fg%2F11vdd4crjw?entry=ttu&g_ep=EgoyMDI1MDgxMC4wIKXMDSoASAFQAw%3D%3D",5,2024-12-16 (unparseable),2024-12-16,Monday,12,December,Top notch service and living.,2024,Charity Colvin,2025-08-13T12:28:45.464942
